file,kind,order,sample,note
combined-fix-01-empty-worker-nodes.png,combined-before-after,1,gef_-CvTBysZRNoedAbriLVy2Q,NotImplementedError on an empty worker-node list
combined-fix-02-prior-qstat-format.png,combined-before-after,2,gef_-m9QAFbXeNovjTz5ARi4IQ,"qstat prior-format left qstat_values unset, then lower-case r broke state counts"
combined-fix-03-unparsed-qstat-line.png,combined-before-after,3,gef_7YvCj9X-ZfOlO9k3NQvd1Q,A non-matching qstat row raised AttributeError
combined-fix-04-mixed-node-names.png,combined-before-after,4,gef_-HHUHGmj9Z_TaPJ8QjMRMw,min() compared integer and string node IDs
combined-fix-05-stale-pbsnodes-job.png,combined-before-after,5,gef_9HB3EoK5yq8_RX6w1k4Cnw,pbsnodes listed a job that was absent from qstat
largest-01-gef_-vRq_3_V0OvFfCXGGtw9zQ.png,largest-run,1,gef_-vRq_3_V0OvFfCXGGtw9zQ,829 worker nodes
largest-02-gef_3JMsSpH99Eq4Zxcglt5obw.png,largest-run,2,gef_3JMsSpH99Eq4Zxcglt5obw,829 worker nodes
largest-03-gef_3Y4kbay3xXmgSIF0SShj1w.png,largest-run,3,gef_3Y4kbay3xXmgSIF0SShj1w,829 worker nodes
largest-04-gef_4uibORn9nuXYl9TdqKWlAQ.png,largest-run,4,gef_4uibORn9nuXYl9TdqKWlAQ,829 worker nodes
largest-05-gef_59j7Q50znmZ6cXUBu0wZcg.png,largest-run,5,gef_59j7Q50znmZ6cXUBu0wZcg,829 worker nodes
